id,lastpage,randnumber,g1f1,g1f2,g1f3,g2f1,g2f2,g2f3,g3f1,g3f2,g3f3,g4f1,g4f2,g4f3,kontrolle,geschlecht,alter,ki
1,7,2,,,,Y,3,3,,,,,,,3,,,
2,7,1,Y,5,1,,,,,,,,,,3,,,
3,9,2,,,,Y,5,2,,,,,,,4,1,68,1
4,9,1,Y,6,6,,,,,,,,,,4,1,59,2
5,9,1,N,5,6,,,,,,,,,,4,1,46,2
6,7,3,,,,,,,Y,6,1,,,,2,,,
7,7,3,,,,,,,Y,4,3,,,,3,,,
8,9,1,N,6,1,,,,,,,,,,4,1,41,0
9,7,1,N,6,6,,,,,,,,,,2,,,
10,7,4,,,,,,,,,,Y,6,1,3,,,
11,9,2,,,,Y,6,3,,,,,,,4,1,31,2
12,9,4,,,,,,,,,,Y,6,2,4,1,,2
13,7,4,,,,,,,,,,Y,6,1,3,,,
14,9,2,,,,Y,6,1,,,,,,,4,2,67,1
15,9,4,,,,,,,,,,Y,6,1,4,1,65,2
16,7,4,,,,,,,,,,Y,5,2,3,,,
17,7,1,N,4,3,,,,,,,,,,2,,,
18,7,4,,,,,,,,,,N,1,1,2,,,
19,7,4,,,,,,,,,,Y,6,1,3,,,
20,9,3,,,,,,,Y,4,1,,,,4,1,72,1
21,9,2,,,,Y,6,1,,,,,,,4,2,33,2
22,7,2,,,,Y,6,4,,,,,,,3,,,
23,7,4,,,,,,,,,,Y,4,1,3,,,
24,7,3,,,,,,,Y,5,2,,,,3,,,
25,9,2,,,,N,6,3,,,,,,,4,2,46,1
26,7,4,,,,,,,,,,Y,5,3,3,,,
27,7,4,,,,,,,,,,Y,6,1,3,,,
28,3,2,,,,,,,,,,,,,,,,
29,7,4,,,,,,,,,,Y,5,2,2,,,
30,9,2,,,,N,6,1,,,,,,,4,1,,2
31,9,2,,,,Y,6,1,,,,,,,4,2,52,2
32,7,1,N,6,1,,,,,,,,,,3,,,
33,7,1,N,5,3,,,,,,,,,,3,,,
34,9,3,,,,,,,Y,4,1,,,,4,1,32,2
35,9,1,N,6,1,,,,,,,,,,4,2,59,2
36,9,4,,,,,,,,,,Y,6,1,4,1,54,2
37,5,4,,,,,,,,,,,,,,,,
38,9,3,,,,,,,Y,6,3,,,,4,1,72,2
39,9,3,,,,,,,N,6,4,,,,4,2,57,2
40,7,1,N,6,1,,,,,,,,,,1,,,
41,9,4,,,,,,,,,,Y,6,2,4,1,57,2
42,9,2,,,,Y,4,4,,,,,,,4,1,70,1
43,9,2,,,,Y,6,1,,,,,,,4,1,56,1
44,7,4,,,,,,,,,,Y,6,1,3,,,
45,9,3,,,,,,,Y,6,1,,,,4,1,44,2
46,9,3,,,,,,,N,6,3,,,,4,2,55,2
47,7,3,,,,,,,Y,2,5,,,,2,,,
48,9,1,N,4,2,,,,,,,,,,4,2,52,1
49,9,1,N,6,1,,,,,,,,,,4,2,54,1
50,9,4,,,,,,,,,,Y,6,1,4,1,66,2
51,9,3,,,,,,,Y,4,4,,,,4,2,58,1
52,9,1,N,6,6,,,,,,,,,,4,2,65,0
53,9,2,,,,Y,6,1,,,,,,,4,1,62,1
54,9,4,,,,,,,,,,Y,6,1,4,1,40,0
55,7,2,,,,Y,6,1,,,,,,,3,,,
56,7,2,,,,Y,5,2,,,,,,,3,,,
57,5,4,,,,,,,,,,,,,,,,
58,9,1,N,6,1,,,,,,,,,,4,1,35,2
59,9,4,,,,,,,,,,Y,6,1,4,1,32,1
60,9,4,,,,,,,,,,Y,6,1,4,2,42,0
61,9,1,N,6,1,,,,,,,,,,4,1,67,0
62,7,3,,,,,,,Y,6,1,,,,3,,,
63,7,4,,,,,,,,,,Y,6,1,2,,,
64,7,2,,,,Y,6,2,,,,,,,3,,,
65,7,2,,,,Y,3,3,,,,,,,3,,,
66,3,2,,,,,,,,,,,,,,,,
67,9,4,,,,,,,,,,Y,5,6,4,1,69,2
68,7,4,,,,,,,,,,Y,6,1,3,,,
69,9,2,,,,Y,6,4,,,,,,,4,1,46,2
70,7,1,N,6,3,,,,,,,,,,1,,,
71,7,2,,,,Y,6,2,,,,,,,3,,,
72,9,2,,,,Y,6,2,,,,,,,4,2,38,2
73,7,1,N,6,1,,,,,,,,,,3,,,
74,7,1,N,6,1,,,,,,,,,,3,,,
75,7,1,Y,5,6,,,,,,,,,,3,,,
76,7,4,,,,,,,,,,Y,6,3,1,,,
77,9,3,,,,,,,N,4,3,,,,4,1,48,1
78,4,3,,,,,,,,,,,,,,,,
79,9,3,,,,,,,N,6,3,,,,4,2,31,2
80,9,1,N,6,1,,,,,,,,,,4,1,58,1
81,7,3,,,,,,,Y,6,6,,,,3,,,
82,7,4,,,,,,,,,,Y,6,1,3,,,
83,9,4,,,,,,,,,,Y,6,2,4,2,34,2
84,7,3,,,,,,,N,5,1,,,,3,,,
85,7,3,,,,,,,Y,6,1,,,,3,,,
86,9,4,,,,,,,,,,Y,6,1,4,1,,2
87,9,4,,,,,,,,,,Y,6,6,4,1,41,1
88,9,1,N,5,2,,,,,,,,,,4,2,43,0
89,9,1,N,6,2,,,,,,,,,,4,1,,0
90,9,4,,,,,,,,,,Y,6,1,4,1,58,2
91,7,3,,,,,,,N,4,6,,,,2,,,
92,7,1,N,6,1,,,,,,,,,,2,,,
93,9,3,,,,,,,Y,5,1,,,,4,1,66,2
94,9,2,,,,Y,6,6,,,,,,,4,1,68,2
95,9,3,,,,,,,N,6,2,,,,4,1,27,2
96,7,2,,,,Y,5,4,,,,,,,3,,,
97,9,2,,,,Y,6,1,,,,,,,4,1,68,0
98,7,1,N,6,1,,,,,,,,,,2,,,
99,9,3,,,,,,,N,6,6,,,,4,1,70,1
100,7,4,,,,,,,,,,Y,4,1,2,,,
101,9,2,,,,Y,6,1,,,,,,,4,1,67,2
102,9,2,,,,N,2,1,,,,,,,4,1,62,2
103,9,1,N,5,1,,,,,,,,,,4,1,53,1
104,7,3,,,,,,,N,6,1,,,,3,,,
105,9,3,,,,,,,Y,3,1,,,,4,2,64,2
106,9,2,,,,Y,6,5,,,,,,,4,1,66,2
107,9,3,,,,,,,Y,5,3,,,,4,1,49,2
108,9,2,,,,Y,4,6,,,,,,,4,2,70,2
109,9,2,,,,N,6,4,,,,,,,4,2,65,2
110,9,3,,,,,,,Y,5,1,,,,4,1,53,2
111,7,1,N,6,1,,,,,,,,,,3,,,
112,7,3,,,,,,,N,5,2,,,,3,,,
113,9,3,,,,,,,Y,6,4,,,,4,1,55,1
114,7,4,,,,,,,,,,Y,6,1,3,,,
115,7,1,N,6,1,,,,,,,,,,3,,,
116,9,4,,,,,,,,,,Y,6,1,4,1,,1
117,9,4,,,,,,,,,,Y,6,1,4,2,38,2
118,7,4,,,,,,,,,,Y,6,3,2,,,
119,7,1,Y,6,3,,,,,,,,,,3,,,
120,9,1,N,5,4,,,,,,,,,,4,1,60,1
121,9,2,,,,N,6,1,,,,,,,4,2,39,2
122,9,3,,,,,,,N,6,3,,,,4,1,,2
123,9,3,,,,,,,Y,6,2,,,,4,2,71,2
124,7,2,,,,Y,4,4,,,,,,,2,,,
125,9,3,,,,,,,N,6,4,,,,4,2,55,1
126,9,1,N,6,1,,,,,,,,,,4,1,73,2
127,7,3,,,,,,,Y,6,1,,,,2,,,
128,7,4,,,,,,,,,,Y,6,2,3,,,
129,7,2,,,,Y,5,4,,,,,,,3,,,
130,9,4,,,,,,,,,,Y,5,1,4,2,46,1
131,9,2,,,,N,6,1,,,,,,,4,2,43,0
132,9,3,,,,,,,N,6,2,,,,4,2,48,2
133,7,4,,,,,,,,,,Y,6,1,3,,,
134,9,2,,,,Y,6,3,,,,,,,4,1,66,1
135,7,3,,,,,,,N,1,1,,,,1,,,
136,9,2,,,,N,6,1,,,,,,,4,1,65,0
137,9,4,,,,,,,,,,Y,6,2,4,1,61,1
138,9,1,N,6,6,,,,,,,,,,4,1,48,0
139,9,2,,,,Y,6,2,,,,,,,4,2,42,2
140,9,2,,,,Y,5,3,,,,,,,4,2,40,1
141,9,2,,,,Y,6,2,,,,,,,4,1,44,1
142,7,3,,,,,,,Y,5,3,,,,3,,,
143,9,4,,,,,,,,,,Y,6,2,4,2,59,1
144,7,4,,,,,,,,,,Y,4,5,2,,,
145,7,4,,,,,,,,,,Y,6,1,3,,,
146,9,4,,,,,,,,,,Y,6,1,4,1,59,2
147,9,4,,,,,,,,,,Y,6,3,4,1,62,1
148,9,2,,,,N,6,1,,,,,,,4,2,30,1
149,9,2,,,,N,6,1,,,,,,,4,1,41,1
150,9,2,,,,N,6,1,,,,,,,4,1,36,2
151,7,2,,,,Y,6,2,,,,,,,3,,,
152,9,3,,,,,,,Y,6,2,,,,4,1,61,1
153,7,1,Y,6,1,,,,,,,,,,3,,,
154,9,4,,,,,,,,,,Y,6,1,4,1,73,1
155,9,4,,,,,,,,,,Y,6,3,4,2,21,2
156,7,1,N,4,1,,,,,,,,,,3,,,
157,7,3,,,,,,,Y,5,5,,,,2,,,
158,7,4,,,,,,,,,,Y,6,3,1,,,
159,7,1,Y,6,6,,,,,,,,,,2,,,
160,9,3,,,,,,,Y,1,6,,,,4,1,60,2
161,9,2,,,,Y,5,2,,,,,,,4,3,53,2
162,9,1,Y,6,4,,,,,,,,,,4,1,27,1
163,9,2,,,,Y,5,3,,,,,,,4,1,63,2
164,9,2,,,,Y,6,1,,,,,,,4,2,38,2
165,9,4,,,,,,,,,,Y,6,1,4,1,66,0
166,9,2,,,,Y,3,3,,,,,,,4,2,61,2
167,5,4,,,,,,,,,,,,,,,,
168,5,4,,,,,,,,,,,,,,,,
169,9,2,,,,N,5,1,,,,,,,4,2,42,2
170,9,2,,,,Y,6,1,,,,,,,4,1,49,1
171,9,3,,,,,,,Y,5,3,,,,4,2,,2
172,9,2,,,,N,3,3,,,,,,,4,2,60,2
173,7,1,N,3,6,,,,,,,,,,3,,,
174,7,3,,,,,,,Y,5,2,,,,2,,,
175,9,1,N,6,1,,,,,,,,,,4,2,39,2
176,7,4,,,,,,,,,,Y,5,1,2,,,
177,7,2,,,,Y,6,1,,,,,,,3,,,
178,7,4,,,,,,,,,,Y,3,4,2,,,
179,9,3,,,,,,,Y,4,1,,,,4,1,22,2
