id,lastpage,randnumber,g1f1,g1f2,g2f1,g2f2,g3f1,g3f2,kontrolle,geschlecht,alter,kategorie
1,8,2,,,N,N,,,1,1,,5
2,8,3,,,,,Y,N,1,2,,4
3,8,2,,,N,Y,,,1,2,59,5
4,8,3,,,,,Y,N,1,2,73,3
5,8,2,,,N,Y,,,1,2,71,5
6,8,1,Y,N,,,,,1,2,28,4
7,8,1,N,Y,,,,,1,1,69,1
8,8,2,,,N,Y,,,1,1,59,1
9,8,2,,,N,Y,,,1,1,72,1
10,8,3,,,,,Y,N,1,1,69,4
11,8,3,,,,,Y,N,1,2,59,3
12,8,1,N,N,,,,,1,1,56,4
13,8,1,Y,N,,,,,1,2,66,2
14,8,1,Y,N,,,,,1,2,35,5
15,8,3,,,,,Y,N,1,1,,4
16,8,1,Y,N,,,,,1,2,50,4
17,8,1,Y,N,,,,,1,1,34,4
18,8,1,N,Y,,,,,1,1,,3
19,8,1,Y,Y,,,,,1,1,60,5
20,8,3,,,,,N,Y,1,1,65,4
21,8,3,,,,,Y,N,1,2,27,4
22,8,1,Y,N,,,,,1,2,,2
23,8,2,,,N,Y,,,1,2,65,2
24,8,1,Y,N,,,,,1,1,60,2
25,8,3,,,,,Y,N,1,2,44,4
26,8,2,,,N,Y,,,1,1,72,2
27,8,3,,,,,Y,N,1,2,58,2
28,8,3,,,,,Y,N,1,1,57,4
29,8,3,,,,,Y,N,1,1,48,2
30,8,3,,,,,Y,N,1,1,74,3
31,8,3,,,,,Y,N,1,2,54,4
32,8,2,,,N,Y,,,1,1,63,3
33,8,1,Y,N,,,,,1,1,60,1
34,8,2,,,N,Y,,,1,1,73,1
35,8,3,,,,,Y,N,1,1,,2
36,8,1,Y,N,,,,,1,1,74,1
37,8,3,,,,,Y,N,1,2,71,3
38,8,2,,,N,Y,,,1,1,47,4
39,8,2,,,N,Y,,,1,2,34,5
40,8,1,Y,N,,,,,1,2,,5
41,3,2,,,,,,,,,,
42,8,3,,,,,Y,N,1,2,53,4
43,8,1,N,Y,,,,,1,2,56,4
44,8,3,,,,,Y,N,1,2,1983,4
45,8,1,Y,N,,,,,1,1,69,4
46,8,1,N,N,,,,,1,2,44,5
47,8,2,,,N,Y,,,1,1,25,4
48,8,1,Y,N,,,,,1,2,52,5
49,8,2,,,N,Y,,,1,2,30,4
50,8,2,,,Y,N,,,1,1,49,1
51,8,2,,,N,Y,,,1,2,74,5
52,8,1,Y,N,,,,,1,2,68,5
53,8,2,,,N,N,,,1,2,19,1
54,8,1,Y,N,,,,,1,1,33,4
55,8,1,Y,N,,,,,1,2,22,4
56,8,2,,,Y,N,,,1,2,39,4
57,8,2,,,N,Y,,,1,2,35,1
58,8,1,Y,N,,,,,1,2,53,5
59,6,2,,,N,Y,,,2,,,
60,8,2,,,N,Y,,,1,1,,1
61,8,1,Y,N,,,,,1,1,11,3
62,8,1,Y,N,,,,,1,2,27,2
63,8,1,N,Y,,,,,1,1,73,2
64,8,3,,,,,Y,N,1,2,49,4
65,8,1,N,Y,,,,,1,1,74,2
66,8,1,N,Y,,,,,1,2,63,4
67,8,3,,,,,Y,N,1,2,,2
68,8,3,,,,,Y,N,1,1,45,4
69,8,2,,,Y,N,,,1,1,41,2
70,8,1,N,Y,,,,,1,2,59,4
71,8,1,Y,N,,,,,1,2,29,4
72,8,2,,,Y,N,,,1,1,25,2
73,8,2,,,N,N,,,1,1,,5
74,8,3,,,,,Y,N,1,2,36,4
75,8,3,,,,,Y,N,1,1,73,4
76,8,1,N,N,,,,,1,1,55,5
77,8,2,,,Y,N,,,1,1,68,4
78,8,3,,,,,Y,N,1,1,73,4
79,8,1,N,N,,,,,1,2,62,2
80,8,2,,,Y,N,,,1,1,67,1
81,8,2,,,N,N,,,1,2,57,2
82,8,3,,,,,Y,N,1,1,31,2
83,8,1,N,N,,,,,1,1,49,5
84,8,3,,,,,Y,N,1,1,60,4
85,8,3,,,,,Y,N,1,2,35,5
86,8,3,,,,,N,N,1,1,74,2
87,8,1,Y,N,,,,,1,1,44,1
88,8,3,,,,,Y,N,1,2,43,4
89,8,1,N,Y,,,,,1,2,34,4
90,8,3,,,,,Y,N,1,1,50,4
91,8,3,,,,,Y,N,1,2,60,2
92,8,1,N,Y,,,,,1,2,37,4
93,8,3,,,,,Y,N,1,2,50,5
94,8,2,,,Y,N,,,1,2,70,4
95,8,2,,,Y,N,,,1,1,73,2
96,8,2,,,N,Y,,,1,2,71,2
97,8,2,,,N,Y,,,1,1,55,4
98,8,3,,,,,Y,N,1,1,45,5
99,8,1,N,Y,,,,,1,1,63,5
100,8,1,Y,N,,,,,1,2,48,2
101,8,1,N,N,,,,,1,1,27,1
102,8,2,,,N,N,,,1,1,66,2
103,8,3,,,,,N,N,1,1,37,4
104,8,3,,,,,Y,N,1,2,58,4
105,8,2,,,N,Y,,,1,1,28,1
106,8,2,,,N,Y,,,1,2,38,2
107,8,3,,,,,Y,N,1,1,54,4
108,8,2,,,N,N,,,1,2,61,5
109,4,3,,,,,,,,,,
110,3,2,,,,,,,,,,
111,3,2,,,,,,,,,,
112,8,3,,,,,Y,N,1,2,32,4
113,8,3,,,,,Y,N,1,1,66,4
114,8,3,,,,,Y,N,1,2,44,5
115,8,1,Y,N,,,,,1,1,46,2
116,8,2,,,N,N,,,1,2,28,4
117,8,3,,,,,Y,N,1,1,42,4
118,8,1,N,Y,,,,,1,1,,2
119,8,3,,,,,Y,N,1,1,58,4
120,8,2,,,N,Y,,,1,2,41,5
121,8,1,N,N,,,,,1,2,42,1
122,8,3,,,,,Y,N,1,2,54,5
123,8,1,Y,N,,,,,1,1,46,4
124,8,1,N,Y,,,,,1,1,35,2
125,8,2,,,N,Y,,,1,1,58,1
126,8,3,,,,,Y,N,1,2,74,3
127,8,2,,,N,Y,,,1,1,40,5
128,8,3,,,,,Y,N,1,2,44,4
129,8,1,N,Y,,,,,1,1,66,4
130,8,2,,,N,Y,,,1,1,53,5
131,8,2,,,N,Y,,,1,2,29,5
132,8,1,Y,N,,,,,1,2,55,4
133,8,1,Y,N,,,,,1,2,56,3
134,8,2,,,N,Y,,,1,1,41,4
135,8,3,,,,,Y,N,1,1,46,4
136,8,2,,,N,Y,,,1,2,33,5
137,8,2,,,N,Y,,,1,1,23,1
138,8,2,,,N,Y,,,1,2,59,2
139,8,2,,,N,Y,,,1,2,37,1
140,8,2,,,N,Y,,,1,2,64,1
141,8,1,N,N,,,,,1,1,45,4
